Order,Category,Concept,Week,Lecture,Status
1,ML Fundamentals,What is machine learning,1,L01,
2,ML Fundamentals,Supervised vs unsupervised vs reinforcement learning,1,L01,
3,ML Fundamentals,Regression vs classification tasks,1,L01,
4,ML Fundamentals,i.i.d. assumption,1,L01,
5,ML Fundamentals,Data-generating process,1,L01,
6,ML Fundamentals,Tabular data: features and target,1,L01,
7,ML Fundamentals,Categorical encoding (one-hot vs dummy),1,L01,
8,Linear Regression,Hypothesis space,1,L01,
9,Linear Regression,Parameterization,1,L01,
10,Linear Regression,Linear regression model,1,L01,
11,Linear Regression,L2 (squared error) loss,1,L01,
12,Linear Regression,Design matrix with intercept padding,1,L01,
13,Linear Regression,Coefficient interpretation (ceteris paribus),1,L01,
14,Linear Regression,Normal equations,1,L01,
15,Linear Regression,OLS closed-form solution,1,L01,
16,Linear Regression,Polynomial regression via basis functions,2,L02,
17,Linear Regression,Linear-in-parameters vs linear-in-features,2,L02,
18,Risk & Optimization,Theoretical risk vs empirical risk,2,L02,
19,Risk & Optimization,Empirical risk minimization (ERM),2,L02,
20,Risk & Optimization,Local vs global minimum,2,L02,
21,Risk & Optimization,Stationary points and the Hessian,2,L02,
22,Risk & Optimization,Gradient descent algorithm,2,L02,
23,Risk & Optimization,Learning rate sensitivity,2,L02,
24,Risk & Optimization,Stochastic gradient descent (concept),2,L02,
25,Loss Functions,L1 (absolute) loss,2,L02,
26,Loss Functions,L1 vs L2 robustness to outliers,2,L02,
27,Loss Functions,L1 vs L2 optimization difficulty,2,L02,
28,Loss Functions,Median regression vs mean regression,2,L02,
29,ML Engineering,Why scale features,2,Supplement,
30,ML Engineering,Standardization (StandardScaler),2,Supplement,
31,ML Engineering,Min-Max scaling,2,Supplement,
32,ML Engineering,Robust scaling (for outliers),2,Supplement,
33,Data Engineering,Data validation (Great Expectations pandera),2,Supplement,
34,Data Engineering,Schema evolution,2,Supplement,
35,Data Engineering,Data quality checks,3,Supplement,
36,ML Engineering,Imputation strategies (mean median KNN iterative),3,Supplement,
37,ML Engineering,Target encoding for high-cardinality categoricals,3,Supplement,
38,Regularization,Regularized ERM pattern,3,L03,
39,Regularization,Complexity penalty J(theta),3,L03,
40,Regularization,Ridge regression (L2 penalty),3,L03,
41,Regularization,Ridge closed-form solution,3,L03,
42,Regularization,Lasso regression (L1 penalty),3,L03,
43,Regularization,Elastic Net,3,L03,
44,Regularization,Soft thresholding operator,3,L03,
45,Regularization,Geometric intuition: L1 diamond vs L2 ball,3,L03,
46,Regularization,Lasso sparsity property,3,L03,
47,Regularization,Choosing lambda via CV,3,L03,
48,Bias-Variance,Bias-variance decomposition,3,L03,
49,Bias-Variance,Model bias vs estimation bias,3,L03,
50,Bias-Variance,Estimation variance,3,L03,
51,Bias-Variance,How regularization trades bias for variance,3,L03,
52,Evaluation,Training error (apparent error),4,L04,
53,Evaluation,Why training error is optimistic,4,L04,
54,Evaluation,Hold-out splitting,4,L04,
55,Evaluation,Test error as GE estimator,4,L04,
56,Evaluation,Generalization error,4,L04,
57,Evaluation,Underfitting vs overfitting,4,L04,
58,Evaluation,U-shape of test error vs complexity,4,L04,
59,Evaluation,Untouched test set principle,4,L04,
60,Regression Metrics,Mean Squared Error (MSE),4,L04,
61,Regression Metrics,Root Mean Squared Error (RMSE),4,L04,
62,Regression Metrics,Mean Absolute Error (MAE),4,L04,
63,Regression Metrics,Mean Absolute Percentage Error (MAPE),4,L04,
64,Regression Metrics,R-squared,4,L04,
65,Regression Metrics,Spearman's rank correlation,4,L04,
66,ML Engineering,sklearn Pipeline,4,Supplement,
67,ML Engineering,sklearn ColumnTransformer,4,Supplement,
68,ML Engineering,Random seeds and reproducibility,4,Supplement,
69,ML Engineering,cross_val_score vs cross_val_predict,5,Supplement,
70,ML Engineering,Train/validation/test split conventions,5,Supplement,
71,Data Engineering,ETL/ELT for ML,5,Supplement,
72,Resampling,Why resample (vs single hold-out),5,L05,
73,Resampling,k-fold cross-validation,5,L05,
74,Resampling,Stratified k-fold CV,5,L05,
75,Resampling,Leave-one-out CV,5,L05,
76,Resampling,Repeated CV,5,L05,
77,Resampling,Bootstrap sampling,5,L05,
78,Resampling,Out-of-bag (OOB) evaluation,5,L05,
79,Resampling,Subsampling / Monte Carlo CV,5,L05,
80,Resampling,Group / leave-one-object-out CV,5,L05,
81,Hyperparameter Tuning,Hyperparameters vs model parameters,5,L05,
82,Hyperparameter Tuning,Bilevel optimization (tuning),5,L05,
83,Hyperparameter Tuning,Grid search,5,L05,
84,Hyperparameter Tuning,Random search,5,L05,
85,Hyperparameter Tuning,Bayesian optimization (concept),5,L05,
86,Hyperparameter Tuning,Hyperband (concept),5,L05,
87,Nested Resampling,Overtuning bias,6,L05b,
88,Nested Resampling,Three-way train/validation/test split,6,L05b,
89,Nested Resampling,Nested resampling procedure,6,L05b,
90,Nested Resampling,Outer vs inner loop,6,L05b,
91,Nested Resampling,Common data-leakage mistakes,6,L05b,
92,Statistical Inference,OLS standard errors,7,deferred_regression_inference,
93,Statistical Inference,t-tests on coefficients,7,deferred_regression_inference,
94,Statistical Inference,Confidence intervals for coefficients,7,deferred_regression_inference,
95,Statistical Inference,F-test for nested models,7,deferred_regression_inference,
96,Statistical Inference,Bootstrap confidence intervals,7,deferred_regression_inference,
97,Advanced Regression,Gaussian Processes (optional),7,Supplement,
98,Classification,Binary vs multiclass classification,8,L06,
99,Classification,Decision boundaries,8,L06,
100,Classification,Scoring vs probabilistic classifiers,8,L06,
101,Classification,Linear classifiers,8,L06,
102,Classification,Log-odds (logit),8,L06,
103,Classification,Sigmoid function,8,L06,
104,Classification,Logistic regression,8,L06,
105,Classification,Bernoulli (log) loss,8,L06,
106,Classification Metrics,Confusion matrix,9,L07,
107,Classification Metrics,Accuracy,9,L07,
108,Classification Metrics,Precision and recall,9,L07,
109,Classification Metrics,F1 score,9,L07,
110,Classification Metrics,ROC curve,9,L07,
111,Classification Metrics,Area under ROC (AUC),9,L07,
112,Classification Metrics,Precision-Recall curve,9,L07,
113,Classification Metrics,Threshold tuning,9,L07,
114,Classification Metrics,Class imbalance pitfalls,9,L07,
115,Specialized Metrics,Cohen's kappa,9,Supplement,
116,Specialized Metrics,Matthews Correlation Coefficient (MCC),9,Supplement,
117,Specialized Metrics,Top-k accuracy,9,Supplement,
118,Specialized Metrics,Multi-class averaging (macro micro weighted),9,Supplement,
119,Class Imbalance,Class weights vs resampling vs threshold tuning,9,Supplement,
120,Class Imbalance,Random undersampling,9,Supplement,
121,Class Imbalance,Random oversampling,9,Supplement,
122,Class Imbalance,SMOTE,10,Supplement,
123,Class Imbalance,Cost-sensitive learning,10,Supplement,
124,Class Imbalance,Stratified evaluation under imbalance,10,Supplement,
125,Multiclass,One-vs-Rest reduction,10,L08,
126,Multiclass,One-vs-One reduction,10,L08,
127,Multiclass,Softmax regression,10,L08,
128,Multiclass,Cross-entropy loss,10,L08,
129,Non-parametric Methods,k-Nearest Neighbors (k-NN),10,L08,
130,Non-parametric Methods,Naive Bayes,10,L08,
131,Non-parametric Methods,Linear / Quadratic Discriminant Analysis,10,L08,
132,Margin Methods,Support Vector Machines (linear + kernel) (optional),10,Supplement,
133,Generalized Linear Models,Exponential family,11,deferred_glms,
134,Generalized Linear Models,Link functions,11,deferred_glms,
135,Generalized Linear Models,Poisson regression,11,deferred_glms,
136,Generalized Linear Models,Gamma regression,11,deferred_glms,
137,Trees,Recursive binary partitioning,13,L09,
138,Trees,Gini index split criterion,13,L09,
139,Trees,Entropy split criterion,13,L09,
140,Trees,SSE-based splits (regression trees),13,L09,
141,Trees,Stopping criteria,13,L09,
142,Trees,Pre-pruning vs post-pruning,13,L09,
143,Trees,Cost-complexity pruning,13,L09,
144,Trees,Decision tree interpretability,13,L09,
145,Bagging & Forests,Ensembling intuition,14,L10,
146,Bagging & Forests,Bagging (bootstrap aggregating),14,L10,
147,Bagging & Forests,Random forests,14,L10,
148,Bagging & Forests,mtry / max_features,14,L10,
149,Bagging & Forests,Out-of-bag score,14,L10,
150,Bagging & Forests,MDI feature importance,14,L10,
151,Bagging & Forests,Permutation feature importance,14,L10,
152,Boosting,AdaBoost,15,L11,
153,Boosting,Gradient boosting concept,15,L11,
154,Boosting,Fitting trees to pseudo-residuals,15,L11,
155,Boosting,Shrinkage / learning rate,15,L11,
156,Boosting,GBM regularization (subsampling),15,L11,
157,Boosting,Early stopping in boosting,15,L11,
158,Boosting,XGBoost,16,L12,
159,Boosting,XGBoost regularization terms,16,L12,
160,Boosting,Histogram-based splits,16,L12,
161,Boosting,LightGBM (GOSS and EFB),16,L12,
162,Boosting,CatBoost ordered boosting,16,L12,
163,Boosting,Native categorical handling,16,L12,
164,Model Workflow,Model stacking and blending,17,Project Showcase,
165,Model Workflow,Calibration of probabilistic predictions,17,Project Showcase,
