source,area,type,question,optA,optB,optC,optD,correct,points,feedback_correct,feedback_wrong,required
q1,about,short,"Name, Surname",,,,,,,,,TRUE
q1,lr_basics,paragraph,How do we transform our data to more easily include intercept in the Lin. Reg. model?,,,,,,,,,TRUE
q1,lr_basics,paragraph,"What happens if we select a very big or very small step size in Gradient Descent (GD). Also, can you bring an example from real life where you have acted like GD?",,,,,,,,,TRUE
q1,core_concepts,paragraph,What are the concepts of overfitting and underfitting. Can you bring examples from real life?,,,,,,,,,TRUE
q1,core_concepts,paragraph,Why do we even split our precious data into train and test sets instead of using everything?,,,,,,,,,TRUE
q1,core_concepts,paragraph,What can we do if a regression model underfits?,,,,,,,,,TRUE
deck,hp_tuning,paragraph,"In your own words, what is the difference between a parameter and a hyperparameter? (Hint: one you compute from the data, the other you choose.) Give one example of each.",,,,,,,,,TRUE
deck-mc,hp_tuning,mc,Which of the following is a HYPERPARAMETER - something you choose rather than something the model computes from the data?,The coefficients (weights) of a fitted linear regression,Ridge regression's alpha (regularization strength),The intercept term found by least squares,The residuals of the fitted model,B,1,"Right. alpha is not learned from the data - you pick it, and then the model learns the coefficients given that choice. Compute it from data -> parameter; choose it yourself -> hyperparameter.","The coefficients and the intercept are PARAMETERS - the model computes them from the data by minimizing the loss. The residuals are just leftover errors, not something you set. Only alpha is chosen by you = the hyperparameter.",TRUE
deck,hp_tuning,paragraph,"Grid search tries every combination of values. Why does it become hopeless once you have, say, 5 hyperparameters? And why does plain random search often find a better model on the same budget? (Intuition is enough, no formulas.)",,,,,,,,,TRUE
deck-mc,hp_tuning,mc,"You tune 4 hyperparameters, 5 candidate values each, with 5-fold cross-validation. How many model fits does grid search need in total?",20,100,625,3125,D,1,"Correct: 5^4 = 625 combinations, times 5 folds = 3125 fits. Add one more hyperparameter and it jumps to 15,625. This blowup is exactly why random and Bayesian search exist.",It is 5^4 combinations (625) times 5 CV folds = 3125. (20 = 4x5 forgets the product; 100 = 4x5x5 mixes it up; 625 is right for the combinations but forgets to multiply by the 5 folds.),TRUE
deck,hp_tuning,paragraph,"After you tune your hyperparameters to get the best cross-validation score, why is that best score an over-optimistic (too rosy) estimate of how the model will really do on new data? What should you report instead?",,,,,,,,,TRUE
deck,hp_tuning,paragraph,"Bonus: Bayesian optimization (e.g. Optuna) ""learns"" from the trials it has already run instead of guessing blindly each time. In simple words, how does that help, and what does ""explore vs exploit"" mean?",,,,,,,,,FALSE
deck,metrics,paragraph,What is the difference between a loss and a metric? Can the thing you train the model on be different from the thing you report to people? Give an example.,,,,,,,,,TRUE
deck,metrics,paragraph,"RMSE and MAE both summarize how big your errors are. When would you rather report MAE, and when RMSE? (Hint: think about what each one does with a single huge error.)",,,,,,,,,TRUE
deck-mc,metrics,mc,"Nine of your predictions are off by 1, and one is off by 100 (a luxury apartment your model missed). Which of these error metrics is LEAST affected by that single big outlier?",MSE,RMSE,MAE,MedAE (median absolute error),D,1,"Right. MedAE is the MEDIAN absolute error, so one huge outlier barely moves it (here it stays at 1). The median just doesn't care about one extreme value.","MSE and RMSE square the errors, so the single 100 dominates them completely. MAE feels it moderately (the mean rises to ~10.9). MedAE - the MEDIAN absolute error - barely moves, because one outlier cannot shift the median. That is the most robust here.",TRUE
deck,metrics,paragraph,"A model's predictions have a perfect correlation (Pearson r = 1.0) with the true values, yet the model is useless in practice. How can both things be true at the same time?",,,,,,,,,TRUE
deck,metrics,paragraph,What does R^2 actually tell you about a model? And what does it mean if you compute R^2 on your test set and get a NEGATIVE number?,,,,,,,,,TRUE
deck,metrics,paragraph,You plot the residuals (errors) against the model's predictions. What is the plot warning you about if the points form a fan / cone shape? What if they form a clear curve instead of random scatter?,,,,,,,,,TRUE
q1,feature_eng,paragraph,Explain main techniques for encoding categorical data and list things we need to be careful about,,,,,,,,,TRUE
deck,feature_eng,paragraph,"In a real ML project, roughly what share of the time goes into data + features versus the actual modeling and tuning? Did the real number surprise you, and why do you think it works out that way?",,,,,,,,,TRUE
deck,feature_eng,paragraph,"""Good features beat a better algorithm."" Why is a ratio like price-per-m2 (or BMI = weight / height^2) often more useful than the raw numbers it is built from? Invent your own useful ratio from any field you like.",,,,,,,,,TRUE
deck,feature_eng,paragraph,"Adding polynomial / interaction features (like area x floor) really helps a plain linear regression, but is basically wasted effort for a Random Forest. Why the difference?",,,,,,,,,TRUE
deck-mc,feature_eng,mc,You are forecasting next month's rent from past data. Which of these is a look-ahead leakage bug (secretly using the future to predict the past)?,Creating a shift(1) lag feature (last period's value),A trailing 7-day rolling mean,"rolling(window=7, center=True) for a moving average",Sorting the data by date before splitting,C,1,"Correct. center=True averages roughly 3 days before AND 3 days after each point, so the feature secretly contains future values. Always use trailing windows when forecasting.","A (lag) and B (trailing mean) only look backwards - safe. D (sorting by date) is good practice. The bug is C: center=True pulls in future days around each point, leaking the future into the past.",TRUE
deck,feature_eng,paragraph,"Target leakage: why is it ""cheating"" to compute ""average rent per district"" on the WHOLE dataset and only THEN split into train and test? What is the honest way to do it?",,,,,,,,,TRUE
