order_id,customer_id,amount,order_date,product_category,payment_method,shipping_method,order_status,discount_applied
101,1,75.46,2024-03-21,Armenian Literature,Idram,HayPost Standard,Completed,0
102,1,87.25,2024-05-14,Traditional Crafts,ARCA Card,HayPost Standard,Completed,5
103,1,69.19,2024-06-20,Armenian Literature,ACBA Bank Transfer,HayPost Standard,Processing,10
104,2,239.62,2024-09-11,Sports Equipment,Cash,HayPost Standard,Completed,0
105,2,372.74,2024-12-17,Food & Delicacies,Cash,Yerevan Express,Completed,5
106,3,32.26,2024-06-19,Armenian Spirits,ARCA Card,HayPost Standard,Shipped,10
107,3,53.81,2024-05-13,Food & Delicacies,Idram,HayPost Standard,Shipped,15
108,3,92.08,2024-08-18,Musical Instruments,ARCA Card,HayPost Standard,Shipped,15
109,3,29.0,2024-12-24,Sports Equipment,ACBA Bank Transfer,Yerevan Express,Completed,0
110,3,42.47,2024-11-10,Traditional Clothing,Cash,HayPost Standard,Cancelled,20
111,3,57.27,2024-10-21,Musical Instruments,ARCA Card,Same Day Delivery,Completed,20
112,3,19.38,2024-08-07,Traditional Games,ACBA Bank Transfer,Yerevan Express,Completed,5
113,4,132.93,2024-06-08,Armenian Spirits,Cash,Yerevan Express,Completed,10
114,4,120.55,2024-10-06,Traditional Crafts,Cash,HayPost Standard,Completed,10
115,5,77.98,2024-07-05,Armenian Literature,Cash,Yerevan Express,Completed,5
116,5,102.3,2024-05-26,Armenian Spirits,ARCA Card,Yerevan Express,Completed,15
117,5,151.35,2024-05-08,Sports Equipment,ARCA Card,Same Day Delivery,Shipped,0
118,5,76.24,2024-09-08,Sports Equipment,ACBA Bank Transfer,HayPost Standard,Cancelled,20
119,6,458.92,2024-02-06,Armenian Spirits,ACBA Bank Transfer,HayPost Standard,Processing,15
120,6,291.58,2024-05-31,Musical Instruments,Cash,HayPost Standard,Completed,15
121,6,353.24,2024-12-05,Sports Equipment,Cash,HayPost Standard,Completed,5
122,6,306.95,2024-11-05,Sports Equipment,ARCA Card,HayPost Standard,Completed,0
123,6,402.33,2024-05-14,Musical Instruments,ACBA Bank Transfer,HayPost Standard,Completed,0
124,7,492.61,2024-02-07,Armenian Literature,Idram,Yerevan Express,Processing,5
125,7,384.12,2024-10-10,Musical Instruments,ARCA Card,Yerevan Express,Completed,0
126,7,165.26,2024-02-18,Traditional Games,Idram,Yerevan Express,Cancelled,0
127,7,488.33,2024-10-28,Armenian Literature,TelCell,HayPost Standard,Completed,0
128,7,260.92,2024-06-09,Traditional Crafts,Cash,Same Day Delivery,Completed,5
129,7,223.12,2024-10-06,Armenian Wines,ACBA Bank Transfer,HayPost Standard,Completed,0
130,8,156.34,2024-10-25,Armenian Spirits,ARCA Card,Yerevan Express,Shipped,15
131,8,62.24,2024-01-13,Armenian Spirits,ACBA Bank Transfer,Yerevan Express,Completed,10
132,8,183.5,2024-05-21,Armenian Spirits,ARCA Card,HayPost Standard,Completed,5
133,8,119.84,2024-02-20,Armenian Wines,Cash,HayPost Standard,Completed,10
134,8,130.56,2024-02-23,Traditional Games,ACBA Bank Transfer,Yerevan Express,Completed,5
135,8,176.3,2024-07-14,Food & Delicacies,ACBA Bank Transfer,Yerevan Express,Completed,0
136,8,157.19,2024-05-03,Armenian Literature,Idram,HayPost Standard,Completed,0
137,8,77.65,2024-08-16,Armenian Spirits,ACBA Bank Transfer,Yerevan Express,Completed,15
138,9,85.97,2024-10-16,Armenian Wines,Cash,Yerevan Express,Completed,20
139,9,133.15,2024-07-10,Armenian Wines,Cash,HayPost Standard,Completed,0
140,9,52.16,2024-03-26,Traditional Games,ARCA Card,HayPost Standard,Cancelled,0
141,9,164.5,2024-08-05,Traditional Games,ACBA Bank Transfer,HayPost Standard,Completed,0
142,9,192.37,2024-01-10,Food & Delicacies,ARCA Card,HayPost Standard,Completed,5
143,9,130.91,2024-09-13,Food & Delicacies,Cash,Same Day Delivery,Shipped,15
144,9,191.03,2024-06-08,Traditional Clothing,Cash,HayPost Standard,Completed,10
145,10,369.08,2024-04-10,Musical Instruments,TelCell,Same Day Delivery,Completed,0
146,10,282.04,2024-04-04,Armenian Literature,Cash,HayPost Standard,Completed,0
147,10,269.22,2024-03-30,Armenian Literature,ARCA Card,HayPost Standard,Completed,5
148,11,83.3,2024-08-04,Sports Equipment,ACBA Bank Transfer,HayPost Standard,Completed,5
149,11,50.07,2024-04-08,Traditional Crafts,ARCA Card,HayPost Standard,Shipped,5
150,11,51.46,2024-09-24,Armenian Spirits,Idram,HayPost Standard,Shipped,5
151,11,42.2,2024-08-04,Armenian Literature,ACBA Bank Transfer,HayPost Standard,Shipped,0
152,11,95.76,2024-10-10,Food & Delicacies,Cash,Yerevan Express,Completed,0
153,12,168.74,2024-02-22,Sports Equipment,ARCA Card,Same Day Delivery,Cancelled,20
154,13,407.96,2024-05-12,Traditional Crafts,TelCell,Yerevan Express,Shipped,15
155,13,179.44,2024-08-17,Traditional Clothing,ARCA Card,Yerevan Express,Processing,0
156,14,137.2,2024-12-04,Musical Instruments,Idram,HayPost Standard,Shipped,5
157,14,106.44,2024-10-18,Armenian Literature,Idram,HayPost Standard,Completed,15
158,14,115.17,2024-02-08,Traditional Crafts,ACBA Bank Transfer,HayPost Standard,Completed,0
159,14,161.63,2024-12-26,Armenian Literature,Cash,Same Day Delivery,Completed,0
160,14,129.26,2024-11-07,Traditional Games,TelCell,HayPost Standard,Cancelled,0
161,15,129.16,2024-03-20,Traditional Games,ARCA Card,Yerevan Express,Completed,0
162,15,154.36,2024-10-31,Musical Instruments,Cash,HayPost Standard,Shipped,0
163,15,193.81,2024-01-12,Traditional Clothing,ACBA Bank Transfer,HayPost Standard,Completed,0
164,15,119.55,2024-06-12,Traditional Crafts,ARCA Card,HayPost Standard,Completed,5
165,15,91.96,2024-05-24,Traditional Games,Idram,Yerevan Express,Completed,15
166,16,50.41,2024-03-22,Traditional Games,Cash,HayPost Standard,Shipped,15
167,16,29.01,2024-12-30,Traditional Clothing,ACBA Bank Transfer,Yerevan Express,Cancelled,0
168,16,78.71,2024-12-06,Sports Equipment,TelCell,Yerevan Express,Shipped,5
169,16,26.38,2024-04-08,Traditional Games,ARCA Card,Yerevan Express,Shipped,20
170,16,92.62,2024-12-23,Armenian Spirits,Idram,Same Day Delivery,Shipped,0
171,17,193.11,2024-01-01,Food & Delicacies,ARCA Card,Yerevan Express,Completed,0
172,17,53.33,2024-03-12,Traditional Crafts,ACBA Bank Transfer,Yerevan Express,Completed,10
173,17,134.14,2024-08-23,Sports Equipment,Cash,HayPost Standard,Completed,10
174,17,170.76,2024-03-06,Armenian Spirits,ARCA Card,HayPost Standard,Completed,5
175,17,133.22,2024-10-12,Armenian Literature,TelCell,HayPost Standard,Completed,10
176,17,143.31,2024-01-30,Armenian Literature,Cash,Yerevan Express,Completed,10
177,18,54.03,2024-12-05,Traditional Crafts,Cash,HayPost Standard,Completed,5
178,19,69.33,2024-04-20,Armenian Spirits,Cash,HayPost Standard,Completed,0
179,19,111.75,2024-07-02,Armenian Literature,ACBA Bank Transfer,Same Day Delivery,Completed,0
180,19,75.34,2024-10-03,Armenian Wines,ARCA Card,HayPost Standard,Completed,0
181,20,99.51,2024-03-18,Sports Equipment,ARCA Card,HayPost Standard,Completed,5
182,20,188.13,2024-04-16,Musical Instruments,ARCA Card,Yerevan Express,Processing,0
