Section,Item,Link,Note,Done,Questions / comments
Gradient descent: prerequisites & vanilla GD,Chapter,https://hayktarkhanyan.github.io/python_math_ml_course/math/09_optim_prereq__gradient_descent.html,"Builds on multivariate calculus (gradients, Hessians) and Taylor series. Big new idea: iterative optimization - no more closed-form solutions.",,
Gradient descent: prerequisites & vanilla GD,"Lecture 15 — Prerequisites, 1st/2nd order conditions",https://youtu.be/7bl1k6TZ9_Q,,,
Gradient descent: prerequisites & vanilla GD,"Lecture 16 — (In)Exact Line Search, GD intro",https://youtu.be/UjGD31i8Ji4,,,
Gradient descent: prerequisites & vanilla GD,Practical — GD learning rate schedule,https://youtu.be/H8M6p-uSxCM,,,
Gradient descent: prerequisites & vanilla GD,HW 01 — Condition number by hand,,Pen-and-paper warmup.,,
Gradient descent: prerequisites & vanilla GD,HW 02 — Implement vanilla GD from scratch,,"numpy only, no sklearn or torch. Build the loop yourself.",,
Gradient descent: prerequisites & vanilla GD,HW 03 — Find the divergence threshold,,Experimental — just trial and error with the learning rate.,,
Gradient descent: prerequisites & vanilla GD,HW 04 — Beat constant LR with a custom schedule,,There's a starter cell already in Lectures/optim/03_gd_step_size.ipynb.,,
Gradient descent: prerequisites & vanilla GD,HW 05 — Visualize the zig-zag,,Picture is way more convincing than the math alone.,,
Gradient descent: prerequisites & vanilla GD,HW 06 — Stuck at a saddle?,,Tiny perturbation in starting point changes everything - the whole point of the problem.,,
Gradient descent: prerequisites & vanilla GD,HW 07 — GD for linear regression,,First time applying GD to real data. Compare against the closed-form solution.,,
"Momentum, Adam, and friends",Chapter,https://hayktarkhanyan.github.io/python_math_ml_course/math/10_optim_momentum_first_order_algs.html,"Builds on chapter 09. Adam/RMSProp/Adagrad fix vanilla GD's two big weaknesses: zig-zagging on ill-conditioned problems, and slow convergence.",,
"Momentum, Adam, and friends","Lecture 17 — Momentum, ADAM, RMSProp, Adagrad",https://youtu.be/JsSnSHZtG_o,,,
"Momentum, Adam, and friends",Practical 11 — Adam and friends in optimization,https://youtu.be/mGOCt9ZcWJg,,,
"Momentum, Adam, and friends",HW 01 — Write out the update rules,,"Recall from lecture / notes, then verify against the notebook.",,
"Momentum, Adam, and friends",HW 02 — Implement momentum from scratch,,Builds on chapter 09 HW 02 (vanilla GD).,,
"Momentum, Adam, and friends",HW 03 — Momentum kills the zig-zag,,Side-by-side with chapter 09 HW 05. Visual punchline.,,
"Momentum, Adam, and friends",HW 04 — Implement Adam from scratch,,Most substantial implementation in the chapter. Follow the formulas exactly.,,
"Momentum, Adam, and friends",HW 05 — The bias correction matters,,Quick experiment - the 'why' explanation is the key part.,,
"Momentum, Adam, and friends",HW 06 — When does Adam fail?,,Counter-example to 'always use Adam'.,,
"Momentum, Adam, and friends",HW 07 — Robustness to the learning rate,,Adam's main practical sell. 5 LRs spanning 4 orders of magnitude.,,
"Momentum, Adam, and friends",HW 08 — Adam for linear regression,,Builds on chapter 09 HW 07. Often surprising: Adam doesn't help on convex problems.,,
