product_id,product_name,category,price,stock_quantity,supplier
1,Handcrafted Armenian Duduk,Musical Instruments,450.0,22,ArmenianHeritage
2,Professional Zurna,Musical Instruments,280.0,8,AraratWines
3,Traditional Oud,Musical Instruments,350.0,29,AraratWines
4,Armenian Kanun,Musical Instruments,750.0,18,ArmenianHeritage
5,Dhol Drum Set,Musical Instruments,320.0,13,ArmenianHeritage
6,Handwoven Karabagh Carpet,Traditional Crafts,1200.0,30,YerevanCrafts
7,Areni-1 Red Wine,Armenian Wines,85.0,6,GyumriWorkshop
8,Armenian Cognac Ararat 20yr,Armenian Spirits,250.0,24,GyumriWorkshop
9,Dried Armenian Apricots,Food & Delicacies,25.99,32,AraratWines
10,Fresh Lavash Bread,Food & Delicacies,8.5,11,GyumriWorkshop
11,Armenian History by Hovhannes Tumanyan,Armenian Literature,39.99,48,AraratWines
12,Komitas Sacred Music Collection,Armenian Literature,29.99,12,YerevanCrafts
13,Western Armenian Grammar Book,Armenian Literature,35.99,39,ArmenianHeritage
14,Artsakh Heritage Album,Armenian Literature,49.99,18,ArmenianHeritage
15,Traditional Armenian Recipes,Armenian Literature,42.99,21,ArmenianHeritage
16,Handmade Ceramic Khachkar,Traditional Crafts,150.0,40,GyumriWorkshop
17,Armenian Coffee Service Set,Traditional Crafts,89.99,44,YerevanCrafts
18,Clay Tonir for Baking,Traditional Crafts,450.0,8,GyumriWorkshop
19,Wild Armenian Herbs Bundle,Food & Delicacies,18.99,6,GyumriWorkshop
20,Artsakh Pomegranate Wine,Armenian Wines,65.0,10,YerevanCrafts
21,Carved Wooden Chess Set,Traditional Games,120.0,46,YerevanCrafts
22,Traditional Nardi (Backgammon),Traditional Games,180.0,8,YerevanCrafts
23,Mount Ararat Climbing Equipment,Sports Equipment,299.99,33,YerevanCrafts
24,Embroidered Traditional Taraz,Traditional Clothing,180.0,22,ArmenianHeritage
25,Armenian Wrestling Singlet,Sports Equipment,75.0,30,TraditionalArts
