,sales
2016-01-01,108.0
2016-02-01,114.20953154557836
2016-03-01,121.0912173291589
2016-04-01,117.53092235845766
2016-05-01,119.66809421491124
2016-06-01,115.72932421426762
2016-07-01,108.37192966326407
2016-08-01,98.90245429324601
2016-09-01,86.44526354356465
2016-10-01,83.99170071666417
2016-11-01,100.08867919327297
2016-12-01,114.38506679637099
2017-01-01,135.33753148244836
2017-02-01,139.69799531166993
2017-03-01,139.80373344199344
2017-04-01,142.41358467088497
2017-05-01,143.420523535993
2017-06-01,136.26747521611327
2017-07-01,134.88825157271975
2017-08-01,123.61216775048173
2017-09-01,108.7132703967149
2017-10-01,108.38483238186761
2017-11-01,112.32956515606725
2017-12-01,133.6661140130443
2018-01-01,148.16476132347086
2018-02-01,144.22362092790425
2018-03-01,142.5097164207246
2018-04-01,139.9103794079233
2018-05-01,140.61912110964678
2018-06-01,137.6617436542778
2018-07-01,139.31963943697443
2018-08-01,134.03836510715553
2018-09-01,117.19884272533439
2018-10-01,113.26783408830815
2018-11-01,120.92114411955112
2018-12-01,140.1230010032093
2019-01-01,153.51525063241596
2019-02-01,161.96029987502968
2019-03-01,164.5275786082065
2019-04-01,151.033391537556
2019-05-01,163.56756806403322
2019-06-01,171.77454164453187
2019-07-01,180.57114774652135
2019-08-01,163.76408986359846
2019-09-01,137.21074064573546
2019-10-01,130.38881589287382
2019-11-01,146.4318934213777
2019-12-01,156.58202950980336
2020-01-01,173.00205534015674
2020-02-01,177.97269095688029
2020-03-01,176.65690121495834
2020-04-01,182.42636825197152
2020-05-01,182.8932082941958
2020-06-01,192.51437867328963
2020-07-01,185.5101381543713
2020-08-01,176.39191481986336
2020-09-01,161.883707267191
2020-10-01,140.50188567141308
2020-11-01,161.8866469910003
2020-12-01,181.89356743921317
2021-01-01,208.3328407791483
2021-02-01,212.54192198396547
2021-03-01,204.66534526857396
2021-04-01,201.808621623988
2021-05-01,206.74130082228007
2021-06-01,206.69786217246238
2021-07-01,200.65841255686922
2021-08-01,196.57367999984018
2021-09-01,173.46719381051443
2021-10-01,173.45404015725003
2021-11-01,182.97705543072232
2021-12-01,192.67682252080232
2022-01-01,211.16657864449482
2022-02-01,214.40425402987267
2022-03-01,213.72504573760924
2022-04-01,217.55986898358572
2022-05-01,220.41966588393203
2022-06-01,218.40450211611702
2022-07-01,214.15700698787236
2022-08-01,204.2450061613052
2022-09-01,200.72784422417885
2022-10-01,195.27577215380572
2022-11-01,197.93399004288847
2022-12-01,209.1254717708001
2023-01-01,216.17389562528163
2023-02-01,230.57128030935124
2023-03-01,226.51526202334392
2023-04-01,221.49048339805722
2023-05-01,232.92616091905666
2023-06-01,231.4475135121063
2023-07-01,238.55229485520488
2023-08-01,225.3301624459779
2023-09-01,216.89161066499253
2023-10-01,208.06297964264417
2023-11-01,209.33931404074056
2023-12-01,236.01810406356697
