source,area,type,question,optA,optB,optC,optD,correct,points,feedback_correct,feedback_wrong,required,reference_answer
user,about,short,"Name, Surname (you can also stay anonymous if you'd like)",,,,,,,,,FALSE,
user,l01d_motivation,paragraph,1. What is overfitting? Give a concrete example.,,,,,,,"Overfitting is when a model captures the training data too tightly, including its random noise, so training error is low but test (unseen-data) error is high. The model 'memorized' the training set instead of learning the underlying pattern. Example: fitting a degree-10 polynomial to 3 noisy data points. The polynomial passes through every point perfectly (zero training error), but predicts wildly between and outside the points.",,TRUE,"Overfitting is when a model captures the training data too tightly, including its random noise, so training error is low but test (unseen-data) error is high. The model 'memorized' the training set instead of learning the underlying pattern. Example: fitting a degree-10 polynomial to 3 noisy data points. The polynomial passes through every point perfectly (zero training error), but predicts wildly between and outside the points."
user,l01d_motivation,paragraph,2. What is underfitting? Give a concrete example.,,,,,,,"Underfitting is when a model is too simple to capture the real pattern in the data, so BOTH training error and test error are large. The model is missing real structure. Example: trying to predict house prices using only the city name (one categorical feature) — the data is fine, but the model class can't use it to express the actual relationship between features and price. Another example: fitting a straight line to clearly curved data.",,TRUE,"Underfitting is when a model is too simple to capture the real pattern in the data, so BOTH training error and test error are large. The model is missing real structure. Example: trying to predict house prices using only the city name (one categorical feature) — the data is fine, but the model class can't use it to express the actual relationship between features and price. Another example: fitting a straight line to clearly curved data."
user,l01d_motivation,paragraph,3. Why doesn't training error tell us how well our model will generalize?,,,,,,,"Training error is computed on the same data we used to fit the model. The model can always lower training error by adding more flexibility (more features, higher polynomial degree, deeper tree) — eventually all the way to memorizing every training point exactly (zero training error). That tells us nothing about new, unseen data. To estimate generalization, we MUST evaluate on data the model never saw during training.",,TRUE,"Training error is computed on the same data we used to fit the model. The model can always lower training error by adding more flexibility (more features, higher polynomial degree, deeper tree) — eventually all the way to memorizing every training point exactly (zero training error). That tells us nothing about new, unseen data. To estimate generalization, we MUST evaluate on data the model never saw during training."
user,l01d_motivation,paragraph,4. What is the bias-variance tradeoff? Sketch the U-shape and label the axes.,,,,,,,"MSE = Bias² + Variance. As model complexity grows: (1) bias falls — a richer model can capture more of the true pattern, so the average prediction gets closer to truth; (2) variance rises — a richer model fits the noise in each particular training set, so predictions wobble across different training samples. The total MSE has a U-shape with a sweet spot in the middle. X-axis: model complexity (e.g., polynomial degree). Y-axis: error. Three curves: Bias² (decreasing), Variance (increasing), MSE (U-shape).",,TRUE,"MSE = Bias² + Variance. As model complexity grows: (1) bias falls — a richer model can capture more of the true pattern, so the average prediction gets closer to truth; (2) variance rises — a richer model fits the noise in each particular training set, so predictions wobble across different training samples. The total MSE has a U-shape with a sweet spot in the middle. X-axis: model complexity (e.g., polynomial degree). Y-axis: error. Three curves: Bias² (decreasing), Variance (increasing), MSE (U-shape)."
user,l01d_methodology,paragraph,"5. What is the train/test split, and what rule must we always follow?",,,,,,,"Split the dataset into training and test pieces (e.g., 80/20). Use training to fit the model. Evaluate ONCE on the test set, at the very end, to estimate generalization. Critical rule: split BEFORE any preprocessing. The scaler/encoder/imputer must be fit on the training rows only, then applied to the test rows. Otherwise statistics from the test set leak into the training process, inflating the reported number.",,TRUE,"Split the dataset into training and test pieces (e.g., 80/20). Use training to fit the model. Evaluate ONCE on the test set, at the very end, to estimate generalization. Critical rule: split BEFORE any preprocessing. The scaler/encoder/imputer must be fit on the training rows only, then applied to the test rows. Otherwise statistics from the test set leak into the training process, inflating the reported number."
user,l01d_methodology,paragraph,6. Why do we need a validation set in addition to a test set? What does each one do?,,,,,,,"Validation set: used during development to pick hyperparameters (polynomial degree, learning rate, etc.) — we can score on it as many times as we want. Test set: touched exactly ONCE, at the end, to get an honest estimate of how the chosen model will perform on new data. If we use the test set to pick hyperparameters, we've contaminated it — the reported number is optimistically biased because we've optimized for that specific test set's noise.",,TRUE,"Validation set: used during development to pick hyperparameters (polynomial degree, learning rate, etc.) — we can score on it as many times as we want. Test set: touched exactly ONCE, at the end, to get an honest estimate of how the chosen model will perform on new data. If we use the test set to pick hyperparameters, we've contaminated it — the reported number is optimistically biased because we've optimized for that specific test set's noise."
user,l01d_methodology,paragraph,7. Explain the three-way split (train / validation / test): which set has which job?,,,,,,,"Training set: fit the parameters θ (coefficients, weights). Validation set: fit the hyperparameters (polynomial degree d, learning rate α, regularization λ). Test set: estimate true generalization. Allowed touches: training as often as you want; validation many times while tuning; test EXACTLY ONCE at the end. Mixing the jobs is how reported numbers stop predicting reality.",,TRUE,"Training set: fit the parameters θ (coefficients, weights). Validation set: fit the hyperparameters (polynomial degree d, learning rate α, regularization λ). Test set: estimate true generalization. Allowed touches: training as often as you want; validation many times while tuning; test EXACTLY ONCE at the end. Mixing the jobs is how reported numbers stop predicting reality."
user,l01d_cv,paragraph,"8. What is k-fold cross-validation, and why do we use it? Sketch how k=5 works.",,,,,,,"k-fold CV splits the training data into k equal chunks ('folds'). For each of k iterations: hold out one fold as validation, train on the other k−1 folds. The final score is the mean of the k validation scores. Why: a single validation set is noisy — different random splits flip which model 'wins'. Averaging k roughly-independent estimates cuts the variance by ~1/k. For k=5: data is split into 5 chunks; each chunk takes a turn as validation while the other 4 chunks train the model.",,TRUE,"k-fold CV splits the training data into k equal chunks ('folds'). For each of k iterations: hold out one fold as validation, train on the other k−1 folds. The final score is the mean of the k validation scores. Why: a single validation set is noisy — different random splits flip which model 'wins'. Averaging k roughly-independent estimates cuts the variance by ~1/k. For k=5: data is split into 5 chunks; each chunk takes a turn as validation while the other 4 chunks train the model."
user,l01d_cv,paragraph,9. How do we choose k? What are typical values and the tradeoffs?,,,,,,,"Typical default: k=5 (gives 80/20 train/val per fold). k=10 gives lower variance estimate but 2× more compute. Small k (e.g., 2 or 3): training sets are too small per fold, so the CV estimate is biased upward (model trained on less data is worse than the final model). Large k (LOOCV = k=n): training sets are nearly identical across folds, scores are highly correlated, variance of the mean is misleading, AND it's expensive (n model fits). Sweet spot: 5-10 for most settings.",,TRUE,"Typical default: k=5 (gives 80/20 train/val per fold). k=10 gives lower variance estimate but 2× more compute. Small k (e.g., 2 or 3): training sets are too small per fold, so the CV estimate is biased upward (model trained on less data is worse than the final model). Large k (LOOCV = k=n): training sets are nearly identical across folds, scores are highly correlated, variance of the mean is misleading, AND it's expensive (n model fits). Sweet spot: 5-10 for most settings."
